# OV02.OVL string dump
# scan start: 0x0
# format: <hex_offset>|<orig_bytes>/<slack_bytes>|<text>
#   orig  = 원본 바이트 수 (null terminator 제외)
#   slack = 여유 공간 (trailing null 개수)
#   max   = orig+slack = 번역 후 인코딩 결과 상한
# - \\n = 0x0a,  \\r = 0x0d
# - 의미 없는 행은 삭제해도 리빌드에 영향 없음

00011652|10/3|：요점 검색
00013540|33/6|에게 보낼 메일을\n선택해 주십시오． 
00013568|28/3|선택한 메일에 답장을 합니다． 
00013588|27/4|답장 메일을 보냈습니다． 
000135a8|29/2|첨부 파일을 저장했습니다． 
000135c8|10/5|투자액：　
000135d8|10/5|부족분：ー
000135e8|2/5|Ｇ
00013b48|11/4|예\n아니요
00013b58|16/7|괜찮겠습니까？
00013b70|10/5|취소
00013b80|4/3|저장
00013b88|8/7|기록 표시
00013b98|4/3|읽기
00013ce6|9/7|：결정　
00013cf4|12/7|：취소
00013d0e|9/5|：답장　
00013d1c|6/5|：뒤로
00013d28|12/3|：기록 표시
00013e60|12/3|데이터베이스
00013f78|16/7|취소한다．
00013f90|49/6|여태까지 등장한\n키워드 데이터를 확인한다．
00013fc8|44/3|쓰러뜨린 그노시스의\n데이터를 확인한다．
000140e8|10/5|취소
000140f8|10/5|키워드
00014108|10/5|그노시스
000141c8|12/3|：분석 정보
000141da|16/5|：메뉴 ＯＦＦ
000141f0|14/1|4：모델 회전
00014200|8/7|5：확대
00014210|8/7|6：축소
00014260|18/5|네피림의 노랫소리 내부
00014278|14/1|엔세페론
00014288|16/7|거대 그노시스 내부
000142a0|14/1|Ｕ−ＴＩＣ 전함
000142b0|14/1|소행성 플레로마
000142c0|14/1|보클린데
000142d0|28/3|ＫＯＳ−ＭＯＳ 시뮬레이터
000142f0|28/11|ＥＶＳ（환경 시뮬레이터）
00014318|33/6|を\n맵으로서 시뮬레이트한다．
000143f8|16/7|시뮬레이션
000144b0|2/1|あ
000144b4|2/1|か
000144b8|2/1|さ
000144bc|2/1|た
000144c0|2/1|な
000144c4|2/1|は
000144c8|2/1|ま
000144cc|2/1|や
000144d0|2/1|ら
000144d4|2/1|わ
00014520|10/13|플러그인
